epoch,step,test_acc,test_loss,train_acc,train_loss
0,49,,,0.71875,0.8060134649276733
0,99,,,0.59375,0.9322492480278015
1,149,,,0.71875,0.8222600221633911
1,199,,,0.625,0.9106889963150024
2,249,,,0.65625,0.9013781547546387
2,299,,,0.625,0.9143731594085693
3,349,,,0.625,0.9301468729972839
3,399,,,0.6875,0.8912885189056396
3,449,,,0.6875,0.8132596015930176
4,499,,,0.5625,0.9762803316116333
4,549,,,0.8125,0.6276066899299622
5,599,,,0.84375,0.4863717555999756
5,649,,,0.75,0.7060619592666626
6,699,,,0.84375,0.4498370885848999
6,749,,,0.78125,0.46809208393096924
7,799,,,0.90625,0.41357606649398804
7,849,,,0.96875,0.2603311836719513
7,899,,,0.875,0.3482067286968231
8,949,,,0.78125,0.542892336845398
8,999,,,0.875,0.35457247495651245
9,1049,,,1.0,0.09574753791093826
9,1099,,,0.875,0.45120519399642944
10,1130,0.8981233239173889,0.3068627715110779,,
