epoch,step,test_acc,test_loss,train_acc,train_loss
0,49,,,0.375,1.1220436096191406
0,99,,,0.375,1.1830600500106812
0,149,,,0.5,1.056001901626587
0,199,,,0.625,0.8597597479820251
0,249,,,0.75,0.6730564832687378
0,299,,,0.5,1.0585157871246338
0,349,,,0.625,0.8651400804519653
0,399,,,0.25,1.2872475385665894
0,449,,,0.5,1.0098103284835815
1,499,,,1.0,0.5829868316650391
1,549,,,0.75,0.7492894530296326
1,599,,,0.375,1.1623538732528687
1,649,,,0.5,1.059431791305542
1,699,,,0.5,1.008194923400879
1,749,,,0.625,0.8372741341590881
1,799,,,0.875,0.43714433908462524
1,849,,,0.875,0.6549117565155029
1,899,,,0.75,0.665237307548523
2,949,,,0.875,0.6326857805252075
2,999,,,1.0,0.3030059337615967
2,1049,,,0.75,0.73940110206604
2,1099,,,0.875,0.4794621765613556
2,1149,,,0.75,0.6978184580802917
2,1199,,,0.75,0.6619905233383179
2,1249,,,0.75,0.7955935597419739
2,1299,,,0.625,0.9648609757423401
2,1349,,,0.625,0.5438783764839172
3,1399,,,0.875,0.3045967221260071
3,1449,,,0.75,0.7241663932800293
3,1499,,,0.875,0.3447377681732178
3,1549,,,0.875,0.418963223695755
3,1599,,,0.625,1.202013373374939
3,1649,,,0.75,0.5131880044937134
3,1699,,,0.75,0.6280214786529541
3,1749,,,0.625,0.7100584506988525
3,1799,,,0.75,0.6865683794021606
4,1849,,,0.875,0.39684608578681946
4,1899,,,0.625,0.6118245124816895
4,1949,,,0.75,0.43968263268470764
4,1999,,,0.75,0.41639918088912964
4,2049,,,0.875,0.22408369183540344
4,2099,,,0.5,0.8777569532394409
4,2149,,,0.75,0.7268928289413452
4,2199,,,0.875,0.34739166498184204
4,2249,,,1.0,0.29790788888931274
5,2299,,,0.875,0.3451613187789917
5,2349,,,1.0,0.27213552594184875
5,2399,,,0.875,0.5040438771247864
5,2449,,,0.875,0.1844838559627533
5,2499,,,0.875,0.3404441475868225
5,2549,,,1.0,0.0910729318857193
5,2599,,,1.0,0.09599125385284424
5,2649,,,1.0,0.08397062867879868
5,2699,,,1.0,0.058936916291713715
6,2749,,,1.0,0.061649471521377563
6,2799,,,0.75,0.6065104603767395
6,2849,,,0.75,0.572382390499115
6,2899,,,0.875,0.3128502368927002
6,2949,,,1.0,0.16742733120918274
6,2999,,,0.875,0.349122554063797
6,3049,,,0.875,0.2899107336997986
6,3099,,,1.0,0.03425661846995354
6,3149,,,1.0,0.070903480052948
7,3199,,,0.75,0.5764264464378357
7,3249,,,1.0,0.09866763651371002
7,3299,,,1.0,0.06274669617414474
7,3349,,,1.0,0.08715325593948364
7,3399,,,1.0,0.21110916137695312
7,3449,,,0.75,0.4413054287433624
7,3499,,,0.875,0.40802469849586487
7,3549,,,0.875,0.2022768259048462
7,3599,,,1.0,0.039408959448337555
8,3649,,,1.0,0.03955768048763275
8,3699,,,1.0,0.058491483330726624
8,3749,,,0.875,0.30776113271713257
8,3799,,,0.875,0.10823351889848709
8,3849,,,1.0,0.03258480131626129
8,3899,,,1.0,0.10292467474937439
8,3949,,,1.0,0.1484585404396057
8,3999,,,0.875,0.30698534846305847
8,4049,,,1.0,0.042596448212862015
9,4099,,,0.875,0.33308669924736023
9,4149,,,1.0,0.023084167391061783
9,4199,,,0.875,0.11705129593610764
9,4249,,,1.0,0.04902105778455734
9,4299,,,1.0,0.005837681703269482
9,4349,,,1.0,0.009352564811706543
9,4399,,,0.875,0.18338428437709808
9,4449,,,0.875,0.27503517270088196
9,4499,,,1.0,0.015415964648127556
10,4510,0.9669347405433655,0.09328753501176834,,
